YearsSinceLastPromotion,Gender_Female,ManagerStability,JobLevel,MaritalStatus_Single,EducationField_Life Sciences,RoleStability,WorkLifeInteraction,OverTime_No,TotalWorkingYears,EducationField_Other,MaritalStatus_Divorced,EducationField_Medical,BusinessTravel_Travel_Rarely,JobInvolvement,YearsAtCompany,JobRole_Manager,RelationshipSatisfaction,TenureRatio,MaritalStatus_Married
-0.6928950458975939,1.0,0.726132860469748,0.06318801950998519,1.0,1.0,0.676231534660547,-1.0127741643121422,1.0,-0.032708905638334534,0.0,0.0,0.0,1.0,-1.0302850225329818,-0.861945404950249,0.0,-0.6781622399448787,-1.3541720680545695,0.0
-0.6928950458975939,1.0,-1.6560404561590274,0.06318801950998519,0.0,0.0,0.07366800458971415,-1.2370038605034308,1.0,-0.6273675343746119,0.0,1.0,1.0,1.0,-2.451412000131336,-0.21780965421586476,0.0,-0.6781622399448787,0.5287305044540929,0.0
0.12024845240974118,1.0,0.726132860469748,0.06318801950998519,0.0,0.0,0.676231534660547,1.005293101409457,0.0,-0.9246968487427507,0.0,0.0,0.0,0.0,0.39084195506537267,-0.861945404950249,0.0,-0.6781622399448787,-0.582641257855898,1.0
0.12024845240974118,0.0,-0.46495379784463964,-0.9237910457938675,0.0,0.0,-0.5288955254811188,1.005293101409457,1.0,-1.07336150592682,0.0,0.0,0.0,1.0,0.39084195506537267,-0.861945404950249,0.0,0.2503339626463193,-0.22902296984817372,1.0
-0.2863232967439263,0.0,-1.0604971270018335,-0.9237910457938675,0.0,0.0,-0.5288955254811188,-0.3400850757382758,0.0,-0.6273675343746119,0.0,0.0,0.0,1.0,0.39084195506537267,-0.21780965421586476,0.0,1.1788301652375173,0.5287305044540929,1.0
-0.2863232967439263,0.0,0.13058953131255427,-0.9237910457938675,0.0,0.0,0.07366800458971415,-1.0127741643121422,1.0,-0.7760321915586813,0.0,0.0,0.0,0.0,0.39084195506537267,-0.6472334880387876,0.0,1.1788301652375173,-0.22902296984817372,1.0
-0.6928950458975939,1.0,0.726132860469748,-0.9237910457938675,0.0,1.0,0.676231534660547,1.005293101409457,1.0,-1.2220261631108893,0.0,0.0,0.0,1.0,-1.0302850225329818,-0.861945404950249,0.0,0.2503339626463193,0.3603408434980334,1.0
2.966250696485414,0.0,0.9426940710723641,-0.9237910457938675,0.0,0.0,1.2240165619976682,1.005293101409457,1.0,0.5619497230979429,0.0,0.0,0.0,1.0,0.39084195506537267,0.8557499303414422,0.0,1.1788301652375173,0.3603408434980334,1.0
1.7465354490244114,1.0,1.2472332734822928,0.06318801950998519,0.0,0.0,-0.15229331918684821,-1.4612335566947197,1.0,1.007943694650151,0.0,0.0,0.0,0.0,1.8119689326637272,1.9293095148987491,0.0,1.1788301652375173,0.949704656844241,1.0
-0.2863232967439263,1.0,1.123161746574544,0.06318801950998519,0.0,0.0,1.0779405547077692,1.005293101409457,1.0,-0.33003822000647326,0.0,0.0,0.0,1.0,-1.0302850225329818,0.4263260965185194,0.0,1.1788301652375173,1.1461592612929765,1.0
